female_word,female_score,male_word,male_score
hotter,0.4884652041203138,thrust,-0.39241111431750175
plow,0.3906766324644374,pros,-0.22633119112115388
pregnant,0.38301817553104417,testosterone,-0.21549480406126115
marrying,0.3625756100954233,homo,-0.20649688346113793
marry,0.3389200249592339,belonging,-0.20412264012477696
hot,0.3253070665608275,satisfaction,-0.19706165835555425
misogynistic,0.3165552144307459,ante,-0.19689750277897058
breast,0.30678828286149357,drown,-0.19077441632459802
q3,0.30170069755077245,theatre,-0.18933119249109556
whore,0.29544611812230326,muscles,-0.187197200984386
